,date_day,season,year,month,day,workingday,weather,temp,atemp,hum,casual_user,registered_user,total_user,season_label,year_label,month_label,day_label,weather_label,workingday_label
0,2011-01-01,1,0,1,6,0,2,0.344167,0.363625,0.805833,331,654,985,spring,2011,January,Saturday,Mist/Cloudy,Weekend
1,2011-01-02,1,0,1,0,0,2,0.363478,0.353739,0.696087,131,670,801,spring,2011,January,Sunday,Mist/Cloudy,Weekend
2,2011-01-03,1,0,1,1,1,1,0.196364,0.189405,0.437273,120,1229,1349,spring,2011,January,Monday,Clear/Partly cloudy,Weekday
3,2011-01-04,1,0,1,2,1,1,0.2,0.212122,0.590435,108,1454,1562,spring,2011,January,Tuesday,Clear/Partly cloudy,Weekday
4,2011-01-05,1,0,1,3,1,1,0.226957,0.22927,0.436957,82,1518,1600,spring,2011,January,Wednesday,Clear/Partly cloudy,Weekday
5,2011-01-06,1,0,1,4,1,1,0.204348,0.233209,0.518261,88,1518,1606,spring,2011,January,Thursday,Clear/Partly cloudy,Weekday
6,2011-01-07,1,0,1,5,1,2,0.196522,0.208839,0.498696,148,1362,1510,spring,2011,January,Friday,Mist/Cloudy,Weekday
7,2011-01-08,1,0,1,6,0,2,0.165,0.162254,0.535833,68,891,959,spring,2011,January,Saturday,Mist/Cloudy,Weekend
8,2011-01-09,1,0,1,0,0,1,0.138333,0.116175,0.434167,54,768,822,spring,2011,January,Sunday,Clear/Partly cloudy,Weekend
9,2011-01-10,1,0,1,1,1,1,0.150833,0.150888,0.482917,41,1280,1321,spring,2011,January,Monday,Clear/Partly cloudy,Weekday
10,2011-01-11,1,0,1,2,1,2,0.169091,0.191464,0.686364,43,1220,1263,spring,2011,January,Tuesday,Mist/Cloudy,Weekday
11,2011-01-12,1,0,1,3,1,1,0.172727,0.160473,0.599545,25,1137,1162,spring,2011,January,Wednesday,Clear/Partly cloudy,Weekday
12,2011-01-13,1,0,1,4,1,1,0.165,0.150883,0.470417,38,1368,1406,spring,2011,January,Thursday,Clear/Partly cloudy,Weekday
13,2011-01-14,1,0,1,5,1,1,0.16087,0.188413,0.537826,54,1367,1421,spring,2011,January,Friday,Clear/Partly cloudy,Weekday
14,2011-01-15,1,0,1,6,0,2,0.233333,0.248112,0.49875,222,1026,1248,spring,2011,January,Saturday,Mist/Cloudy,Weekend
15,2011-01-16,1,0,1,0,0,1,0.231667,0.234217,0.48375,251,953,1204,spring,2011,January,Sunday,Clear/Partly cloudy,Weekend
16,2011-01-17,1,0,1,1,0,2,0.175833,0.176771,0.5375,117,883,1000,spring,2011,January,Monday,Mist/Cloudy,Weekend
17,2011-01-18,1,0,1,2,1,2,0.216667,0.232333,0.861667,9,674,683,spring,2011,January,Tuesday,Mist/Cloudy,Weekday
18,2011-01-19,1,0,1,3,1,2,0.292174,0.298422,0.741739,78,1572,1650,spring,2011,January,Wednesday,Mist/Cloudy,Weekday
19,2011-01-20,1,0,1,4,1,2,0.261667,0.25505,0.538333,83,1844,1927,spring,2011,January,Thursday,Mist/Cloudy,Weekday
20,2011-01-21,1,0,1,5,1,1,0.1775,0.157833,0.457083,75,1468,1543,spring,2011,January,Friday,Clear/Partly cloudy,Weekday
21,2011-01-22,1,0,1,6,0,1,0.0591304,0.0790696,0.4,93,888,981,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
22,2011-01-23,1,0,1,0,0,1,0.0965217,0.0988391,0.436522,150,836,986,spring,2011,January,Sunday,Clear/Partly cloudy,Weekend
23,2011-01-24,1,0,1,1,1,1,0.0973913,0.11793,0.491739,86,1330,1416,spring,2011,January,Monday,Clear/Partly cloudy,Weekday
24,2011-01-25,1,0,1,2,1,2,0.223478,0.234526,0.616957,186,1799,1985,spring,2011,January,Tuesday,Mist/Cloudy,Weekday
25,2011-01-26,1,0,1,3,1,3,0.2175,0.2036,0.8625,34,472,506,spring,2011,January,Wednesday,Light Snow/Rain,Weekday
26,2011-01-27,1,0,1,4,1,1,0.195,0.2197,0.6875,15,416,431,spring,2011,January,Thursday,Clear/Partly cloudy,Weekday
27,2011-01-28,1,0,1,5,1,2,0.203478,0.223317,0.793043,38,1129,1167,spring,2011,January,Friday,Mist/Cloudy,Weekday
28,2011-01-29,1,0,1,6,0,1,0.196522,0.212126,0.651739,123,975,1098,spring,2011,January,Saturday,Clear/Partly cloudy,Weekend
29,2011-01-30,1,0,1,0,0,1,0.216522,0.250322,0.722174,140,956,1096,spring,2011,January,Sunday,Clear/Partly cloudy,Weekend
30,2011-01-31,1,0,1,1,1,2,0.180833,0.18625,0.60375,42,1459,1501,spring,2011,January,Monday,Mist/Cloudy,Weekday
31,2011-02-01,1,0,2,2,1,2,0.192174,0.23453,0.829565,47,1313,1360,spring,2011,February,Tuesday,Mist/Cloudy,Weekday
32,2011-02-02,1,0,2,3,1,2,0.26,0.254417,0.775417,72,1454,1526,spring,2011,February,Wednesday,Mist/Cloudy,Weekday
33,2011-02-03,1,0,2,4,1,1,0.186957,0.177878,0.437826,61,1489,1550,spring,2011,February,Thursday,Clear/Partly cloudy,Weekday
34,2011-02-04,1,0,2,5,1,2,0.211304,0.228587,0.585217,88,1620,1708,spring,2011,February,Friday,Mist/Cloudy,Weekday
35,2011-02-05,1,0,2,6,0,2,0.233333,0.243058,0.929167,100,905,1005,spring,2011,February,Saturday,Mist/Cloudy,Weekend
36,2011-02-06,1,0,2,0,0,1,0.285833,0.291671,0.568333,354,1269,1623,spring,2011,February,Sunday,Clear/Partly cloudy,Weekend
37,2011-02-07,1,0,2,1,1,1,0.271667,0.303658,0.738333,120,1592,1712,spring,2011,February,Monday,Clear/Partly cloudy,Weekday
38,2011-02-08,1,0,2,2,1,1,0.220833,0.198246,0.537917,64,1466,1530,spring,2011,February,Tuesday,Clear/Partly cloudy,Weekday
39,2011-02-09,1,0,2,3,1,2,0.134783,0.144283,0.494783,53,1552,1605,spring,2011,February,Wednesday,Mist/Cloudy,Weekday
40,2011-02-10,1,0,2,4,1,1,0.144348,0.149548,0.437391,47,1491,1538,spring,2011,February,Thursday,Clear/Partly cloudy,Weekday
41,2011-02-11,1,0,2,5,1,1,0.189091,0.213509,0.506364,149,1597,1746,spring,2011,February,Friday,Clear/Partly cloudy,Weekday
42,2011-02-12,1,0,2,6,0,1,0.2225,0.232954,0.544167,288,1184,1472,spring,2011,February,Saturday,Clear/Partly cloudy,Weekend
43,2011-02-13,1,0,2,0,0,1,0.316522,0.324113,0.457391,397,1192,1589,spring,2011,February,Sunday,Clear/Partly cloudy,Weekend
44,2011-02-14,1,0,2,1,1,1,0.415,0.39835,0.375833,208,1705,1913,spring,2011,February,Monday,Clear/Partly cloudy,Weekday
45,2011-02-15,1,0,2,2,1,1,0.266087,0.254274,0.314348,140,1675,1815,spring,2011,February,Tuesday,Clear/Partly cloudy,Weekday
46,2011-02-16,1,0,2,3,1,1,0.318261,0.3162,0.423478,218,1897,2115,spring,2011,February,Wednesday,Clear/Partly cloudy,Weekday
47,2011-02-17,1,0,2,4,1,1,0.435833,0.428658,0.505,259,2216,2475,spring,2011,February,Thursday,Clear/Partly cloudy,Weekday
48,2011-02-18,1,0,2,5,1,1,0.521667,0.511983,0.516667,579,2348,2927,spring,2011,February,Friday,Clear/Partly cloudy,Weekday
49,2011-02-19,1,0,2,6,0,1,0.399167,0.391404,0.187917,532,1103,1635,spring,2011,February,Saturday,Clear/Partly cloudy,Weekend
50,2011-02-20,1,0,2,0,0,1,0.285217,0.27733,0.407826,639,1173,1812,spring,2011,February,Sunday,Clear/Partly cloudy,Weekend
51,2011-02-21,1,0,2,1,0,2,0.303333,0.284075,0.605,195,912,1107,spring,2011,February,Monday,Mist/Cloudy,Weekend
52,2011-02-22,1,0,2,2,1,1,0.182222,0.186033,0.577778,74,1376,1450,spring,2011,February,Tuesday,Clear/Partly cloudy,Weekday
53,2011-02-23,1,0,2,3,1,1,0.221739,0.245717,0.423043,139,1778,1917,spring,2011,February,Wednesday,Clear/Partly cloudy,Weekday
54,2011-02-24,1,0,2,4,1,2,0.295652,0.289191,0.697391,100,1707,1807,spring,2011,February,Thursday,Mist/Cloudy,Weekday
55,2011-02-25,1,0,2,5,1,2,0.364348,0.350461,0.712174,120,1341,1461,spring,2011,February,Friday,Mist/Cloudy,Weekday
56,2011-02-26,1,0,2,6,0,1,0.2825,0.282192,0.537917,424,1545,1969,spring,2011,February,Saturday,Clear/Partly cloudy,Weekend
57,2011-02-27,1,0,2,0,0,1,0.343478,0.351109,0.68,694,1708,2402,spring,2011,February,Sunday,Clear/Partly cloudy,Weekend
58,2011-02-28,1,0,2,1,1,2,0.407273,0.400118,0.876364,81,1365,1446,spring,2011,February,Monday,Mist/Cloudy,Weekday
59,2011-03-01,1,0,3,2,1,1,0.266667,0.263879,0.535,137,1714,1851,spring,2011,March,Tuesday,Clear/Partly cloudy,Weekday
60,2011-03-02,1,0,3,3,1,1,0.335,0.320071,0.449583,231,1903,2134,spring,2011,March,Wednesday,Clear/Partly cloudy,Weekday
61,2011-03-03,1,0,3,4,1,1,0.198333,0.200133,0.318333,123,1562,1685,spring,2011,March,Thursday,Clear/Partly cloudy,Weekday
62,2011-03-04,1,0,3,5,1,2,0.261667,0.255679,0.610417,214,1730,1944,spring,2011,March,Friday,Mist/Cloudy,Weekday
63,2011-03-05,1,0,3,6,0,2,0.384167,0.378779,0.789167,640,1437,2077,spring,2011,March,Saturday,Mist/Cloudy,Weekend
64,2011-03-06,1,0,3,0,0,2,0.376522,0.366252,0.948261,114,491,605,spring,2011,March,Sunday,Mist/Cloudy,Weekend
65,2011-03-07,1,0,3,1,1,1,0.261739,0.238461,0.551304,244,1628,1872,spring,2011,March,Monday,Clear/Partly cloudy,Weekday
66,2011-03-08,1,0,3,2,1,1,0.2925,0.3024,0.420833,316,1817,2133,spring,2011,March,Tuesday,Clear/Partly cloudy,Weekday
67,2011-03-09,1,0,3,3,1,2,0.295833,0.286608,0.775417,191,1700,1891,spring,2011,March,Wednesday,Mist/Cloudy,Weekday
68,2011-03-10,1,0,3,4,1,3,0.389091,0.385668,0.0,46,577,623,spring,2011,March,Thursday,Light Snow/Rain,Weekday
69,2011-03-11,1,0,3,5,1,2,0.316522,0.305,0.649565,247,1730,1977,spring,2011,March,Friday,Mist/Cloudy,Weekday
70,2011-03-12,1,0,3,6,0,1,0.329167,0.32575,0.594583,724,1408,2132,spring,2011,March,Saturday,Clear/Partly cloudy,Weekend
71,2011-03-13,1,0,3,0,0,1,0.384348,0.380091,0.527391,982,1435,2417,spring,2011,March,Sunday,Clear/Partly cloudy,Weekend
72,2011-03-14,1,0,3,1,1,1,0.325217,0.332,0.496957,359,1687,2046,spring,2011,March,Monday,Clear/Partly cloudy,Weekday
73,2011-03-15,1,0,3,2,1,2,0.317391,0.318178,0.655652,289,1767,2056,spring,2011,March,Tuesday,Mist/Cloudy,Weekday
74,2011-03-16,1,0,3,3,1,2,0.365217,0.36693,0.776522,321,1871,2192,spring,2011,March,Wednesday,Mist/Cloudy,Weekday
75,2011-03-17,1,0,3,4,1,1,0.415,0.410333,0.602917,424,2320,2744,spring,2011,March,Thursday,Clear/Partly cloudy,Weekday
76,2011-03-18,1,0,3,5,1,1,0.54,0.527009,0.525217,884,2355,3239,spring,2011,March,Friday,Clear/Partly cloudy,Weekday
77,2011-03-19,1,0,3,6,0,1,0.4725,0.466525,0.379167,1424,1693,3117,spring,2011,March,Saturday,Clear/Partly cloudy,Weekend
78,2011-03-20,1,0,3,0,0,1,0.3325,0.32575,0.47375,1047,1424,2471,spring,2011,March,Sunday,Clear/Partly cloudy,Weekend
79,2011-03-21,2,0,3,1,1,2,0.430435,0.409735,0.737391,401,1676,2077,summer,2011,March,Monday,Mist/Cloudy,Weekday
80,2011-03-22,2,0,3,2,1,1,0.441667,0.440642,0.624583,460,2243,2703,summer,2011,March,Tuesday,Clear/Partly cloudy,Weekday
81,2011-03-23,2,0,3,3,1,2,0.346957,0.337939,0.839565,203,1918,2121,summer,2011,March,Wednesday,Mist/Cloudy,Weekday
82,2011-03-24,2,0,3,4,1,2,0.285,0.270833,0.805833,166,1699,1865,summer,2011,March,Thursday,Mist/Cloudy,Weekday
83,2011-03-25,2,0,3,5,1,1,0.264167,0.256312,0.495,300,1910,2210,summer,2011,March,Friday,Clear/Partly cloudy,Weekday
84,2011-03-26,2,0,3,6,0,1,0.265833,0.257571,0.394167,981,1515,2496,summer,2011,March,Saturday,Clear/Partly cloudy,Weekend
85,2011-03-27,2,0,3,0,0,2,0.253043,0.250339,0.493913,472,1221,1693,summer,2011,March,Sunday,Mist/Cloudy,Weekend
86,2011-03-28,2,0,3,1,1,1,0.264348,0.257574,0.302174,222,1806,2028,summer,2011,March,Monday,Clear/Partly cloudy,Weekday
87,2011-03-29,2,0,3,2,1,1,0.3025,0.292908,0.314167,317,2108,2425,summer,2011,March,Tuesday,Clear/Partly cloudy,Weekday
88,2011-03-30,2,0,3,3,1,2,0.3,0.29735,0.646667,168,1368,1536,summer,2011,March,Wednesday,Mist/Cloudy,Weekday
89,2011-03-31,2,0,3,4,1,3,0.268333,0.257575,0.918333,179,1506,1685,summer,2011,March,Thursday,Light Snow/Rain,Weekday
90,2011-04-01,2,0,4,5,1,2,0.3,0.283454,0.68625,307,1920,2227,summer,2011,April,Friday,Mist/Cloudy,Weekday
91,2011-04-02,2,0,4,6,0,2,0.315,0.315637,0.65375,898,1354,2252,summer,2011,April,Saturday,Mist/Cloudy,Weekend
92,2011-04-03,2,0,4,0,0,1,0.378333,0.378767,0.48,1651,1598,3249,summer,2011,April,Sunday,Clear/Partly cloudy,Weekend
93,2011-04-04,2,0,4,1,1,1,0.573333,0.542929,0.42625,734,2381,3115,summer,2011,April,Monday,Clear/Partly cloudy,Weekday
94,2011-04-05,2,0,4,2,1,2,0.414167,0.39835,0.642083,167,1628,1795,summer,2011,April,Tuesday,Mist/Cloudy,Weekday
95,2011-04-06,2,0,4,3,1,1,0.390833,0.387608,0.470833,413,2395,2808,summer,2011,April,Wednesday,Clear/Partly cloudy,Weekday
96,2011-04-07,2,0,4,4,1,1,0.4375,0.433696,0.602917,571,2570,3141,summer,2011,April,Thursday,Clear/Partly cloudy,Weekday
97,2011-04-08,2,0,4,5,1,2,0.335833,0.324479,0.83625,172,1299,1471,summer,2011,April,Friday,Mist/Cloudy,Weekday
98,2011-04-09,2,0,4,6,0,2,0.3425,0.341529,0.8775,879,1576,2455,summer,2011,April,Saturday,Mist/Cloudy,Weekend
99,2011-04-10,2,0,4,0,0,2,0.426667,0.426737,0.8575,1188,1707,2895,summer,2011,April,Sunday,Mist/Cloudy,Weekend
100,2011-04-11,2,0,4,1,1,2,0.595652,0.565217,0.716956,855,2493,3348,summer,2011,April,Monday,Mist/Cloudy,Weekday
101,2011-04-12,2,0,4,2,1,2,0.5025,0.493054,0.739167,257,1777,2034,summer,2011,April,Tuesday,Mist/Cloudy,Weekday
102,2011-04-13,2,0,4,3,1,2,0.4125,0.417283,0.819167,209,1953,2162,summer,2011,April,Wednesday,Mist/Cloudy,Weekday
103,2011-04-14,2,0,4,4,1,1,0.4675,0.462742,0.540417,529,2738,3267,summer,2011,April,Thursday,Clear/Partly cloudy,Weekday
104,2011-04-15,2,0,4,5,0,1,0.446667,0.441913,0.67125,642,2484,3126,summer,2011,April,Friday,Clear/Partly cloudy,Weekend
105,2011-04-16,2,0,4,6,0,3,0.430833,0.425492,0.888333,121,674,795,summer,2011,April,Saturday,Light Snow/Rain,Weekend
106,2011-04-17,2,0,4,0,0,1,0.456667,0.445696,0.479583,1558,2186,3744,summer,2011,April,Sunday,Clear/Partly cloudy,Weekend
107,2011-04-18,2,0,4,1,1,1,0.5125,0.503146,0.5425,669,2760,3429,summer,2011,April,Monday,Clear/Partly cloudy,Weekday
108,2011-04-19,2,0,4,2,1,2,0.505833,0.489258,0.665833,409,2795,3204,summer,2011,April,Tuesday,Mist/Cloudy,Weekday
109,2011-04-20,2,0,4,3,1,1,0.595,0.564392,0.614167,613,3331,3944,summer,2011,April,Wednesday,Clear/Partly cloudy,Weekday
110,2011-04-21,2,0,4,4,1,1,0.459167,0.453892,0.407083,745,3444,4189,summer,2011,April,Thursday,Clear/Partly cloudy,Weekday
111,2011-04-22,2,0,4,5,1,2,0.336667,0.321954,0.729583,177,1506,1683,summer,2011,April,Friday,Mist/Cloudy,Weekday
112,2011-04-23,2,0,4,6,0,2,0.46,0.450121,0.887917,1462,2574,4036,summer,2011,April,Saturday,Mist/Cloudy,Weekend
113,2011-04-24,2,0,4,0,0,2,0.581667,0.551763,0.810833,1710,2481,4191,summer,2011,April,Sunday,Mist/Cloudy,Weekend
114,2011-04-25,2,0,4,1,1,1,0.606667,0.5745,0.776667,773,3300,4073,summer,2011,April,Monday,Clear/Partly cloudy,Weekday
115,2011-04-26,2,0,4,2,1,1,0.631667,0.594083,0.729167,678,3722,4400,summer,2011,April,Tuesday,Clear/Partly cloudy,Weekday
116,2011-04-27,2,0,4,3,1,2,0.62,0.575142,0.835417,547,3325,3872,summer,2011,April,Wednesday,Mist/Cloudy,Weekday
117,2011-04-28,2,0,4,4,1,2,0.6175,0.578929,0.700833,569,3489,4058,summer,2011,April,Thursday,Mist/Cloudy,Weekday
118,2011-04-29,2,0,4,5,1,1,0.51,0.497463,0.457083,878,3717,4595,summer,2011,April,Friday,Clear/Partly cloudy,Weekday
119,2011-04-30,2,0,4,6,0,1,0.4725,0.464021,0.503333,1965,3347,5312,summer,2011,April,Saturday,Clear/Partly cloudy,Weekend
120,2011-05-01,2,0,5,0,0,2,0.451667,0.448204,0.762083,1138,2213,3351,summer,2011,May,Sunday,Mist/Cloudy,Weekend
121,2011-05-02,2,0,5,1,1,2,0.549167,0.532833,0.73,847,3554,4401,summer,2011,May,Monday,Mist/Cloudy,Weekday
122,2011-05-03,2,0,5,2,1,2,0.616667,0.582079,0.697083,603,3848,4451,summer,2011,May,Tuesday,Mist/Cloudy,Weekday
123,2011-05-04,2,0,5,3,1,2,0.414167,0.40465,0.737083,255,2378,2633,summer,2011,May,Wednesday,Mist/Cloudy,Weekday
124,2011-05-05,2,0,5,4,1,1,0.459167,0.441917,0.444167,614,3819,4433,summer,2011,May,Thursday,Clear/Partly cloudy,Weekday
125,2011-05-06,2,0,5,5,1,1,0.479167,0.474117,0.59,894,3714,4608,summer,2011,May,Friday,Clear/Partly cloudy,Weekday
126,2011-05-07,2,0,5,6,0,1,0.52,0.512621,0.54125,1612,3102,4714,summer,2011,May,Saturday,Clear/Partly cloudy,Weekend
127,2011-05-08,2,0,5,0,0,1,0.528333,0.518933,0.631667,1401,2932,4333,summer,2011,May,Sunday,Clear/Partly cloudy,Weekend
128,2011-05-09,2,0,5,1,1,1,0.5325,0.525246,0.58875,664,3698,4362,summer,2011,May,Monday,Clear/Partly cloudy,Weekday
129,2011-05-10,2,0,5,2,1,1,0.5325,0.522721,0.489167,694,4109,4803,summer,2011,May,Tuesday,Clear/Partly cloudy,Weekday
130,2011-05-11,2,0,5,3,1,1,0.5425,0.5284,0.632917,550,3632,4182,summer,2011,May,Wednesday,Clear/Partly cloudy,Weekday
131,2011-05-12,2,0,5,4,1,1,0.535,0.523363,0.7475,695,4169,4864,summer,2011,May,Thursday,Clear/Partly cloudy,Weekday
132,2011-05-13,2,0,5,5,1,2,0.5125,0.4943,0.863333,692,3413,4105,summer,2011,May,Friday,Mist/Cloudy,Weekday
133,2011-05-14,2,0,5,6,0,2,0.520833,0.500629,0.9225,902,2507,3409,summer,2011,May,Saturday,Mist/Cloudy,Weekend
134,2011-05-15,2,0,5,0,0,2,0.5625,0.536,0.867083,1582,2971,4553,summer,2011,May,Sunday,Mist/Cloudy,Weekend
135,2011-05-16,2,0,5,1,1,1,0.5775,0.550512,0.787917,773,3185,3958,summer,2011,May,Monday,Clear/Partly cloudy,Weekday
136,2011-05-17,2,0,5,2,1,2,0.561667,0.538529,0.837917,678,3445,4123,summer,2011,May,Tuesday,Mist/Cloudy,Weekday
137,2011-05-18,2,0,5,3,1,2,0.55,0.527158,0.87,536,3319,3855,summer,2011,May,Wednesday,Mist/Cloudy,Weekday
138,2011-05-19,2,0,5,4,1,2,0.530833,0.510742,0.829583,735,3840,4575,summer,2011,May,Thursday,Mist/Cloudy,Weekday
139,2011-05-20,2,0,5,5,1,1,0.536667,0.529042,0.719583,909,4008,4917,summer,2011,May,Friday,Clear/Partly cloudy,Weekday
140,2011-05-21,2,0,5,6,0,1,0.6025,0.571975,0.626667,2258,3547,5805,summer,2011,May,Saturday,Clear/Partly cloudy,Weekend
141,2011-05-22,2,0,5,0,0,1,0.604167,0.5745,0.749583,1576,3084,4660,summer,2011,May,Sunday,Clear/Partly cloudy,Weekend
142,2011-05-23,2,0,5,1,1,2,0.631667,0.590296,0.81,836,3438,4274,summer,2011,May,Monday,Mist/Cloudy,Weekday
143,2011-05-24,2,0,5,2,1,2,0.66,0.604813,0.740833,659,3833,4492,summer,2011,May,Tuesday,Mist/Cloudy,Weekday
144,2011-05-25,2,0,5,3,1,1,0.660833,0.615542,0.69625,740,4238,4978,summer,2011,May,Wednesday,Clear/Partly cloudy,Weekday
145,2011-05-26,2,0,5,4,1,1,0.708333,0.654688,0.6775,758,3919,4677,summer,2011,May,Thursday,Clear/Partly cloudy,Weekday
146,2011-05-27,2,0,5,5,1,1,0.681667,0.637008,0.65375,871,3808,4679,summer,2011,May,Friday,Clear/Partly cloudy,Weekday
